Date_As_Of,Rank_As_Of,YTD_Rank,Last_Week_Rank,Title,Type,Netflix_Exclusive,Release_Date,Days_in_top_10,Viewership_Score
2020-07-05,10,10,4,365 Days,Movie,Yes,07-Jul-20,28,213
2020-07-06,1,1,-,Unsolved Mysteries,TV Show,Yes,01-Jul-20,5,50
2020-07-06,2,2,-,Warrior Nun,TV Show,Yes,02-Jul-20,4,34
2020-07-06,3,3,-,The Baby-Sitters Club,TV Show,Yes,03-Jul-20,3,23
2020-07-06,4,4,-,Patriots Day,Movie,,01-Jul-20,5,39
2020-07-06,5,5,-,Desperados,Movie,Yes,03-Jul-20,3,16
2020-07-06,6,7,-,The Town,Movie,,01-Jul-20,5,22
2020-07-06,7,6,2,Floor is Lava,TV Show,Yes,19-Jun-20,17,150
2020-07-06,8,8,-,A Thousand Words,Movie,,01-Jul-20,3,11
2020-07-06,9,-,-,I Now Pronounce You Chuck a…,Movie,,01-Mar-18,1,2
2020-07-06,10,-,-,Double Jeopardy,Movie,,01-Jun-16,1,1
2020-07-07,1,1,-,Unsolved Mysteries,TV Show,Yes,01-Jul-20,6,60
2020-07-07,2,2,-,Warrior Nun,TV Show,Yes,02-Jul-20,5,43
2020-07-07,3,3,-,The Baby-Sitters Club,TV Show,Yes,03-Jul-20,4,31
2020-07-07,4,5,-,Desperados,Movie,Yes,03-Jul-20,4,23
2020-07-07,5,4,-,Patriots Day,Movie,,01-Jul-20,6,45
2020-07-07,6,7,1,Floor is Lava,TV Show,Yes,19-Jun-20,18,155
2020-07-07,7,6,-,The Town,Movie,,01-Jul-20,6,26
2020-07-07,8,9,-,I Now Pronounce You Chuck a…,Movie,,01-Mar-18,2,5
2020-07-07,9,8,-,A Thousand Words,Movie,,01-Jul-20,4,13
2020-07-07,10,10,-,Double Jeopardy,Movie,,01-Jun-16,2,2
2020-07-08,1,1,-,Unsolved Mysteries,TV Show,Yes,01-Jul-20,7,70
2020-07-08,2,2,-,Warrior Nun,TV Show,Yes,02-Jul-20,6,52
2020-07-08,3,3,-,The Baby-Sitters Club,TV Show,Yes,03-Jul-20,5,39
2020-07-08,4,4,-,Desperados,Movie,Yes,03-Jul-20,5,30
2020-07-08,5,6,1,Floor is Lava,TV Show,Yes,19-Jun-20,19,161
2020-07-08,6,5,-,Patriots Day,Movie,,01-Jul-20,7,50
2020-07-08,7,8,-,I Now Pronounce You Chuck a…,Movie,,01-Mar-18,3,9
2020-07-08,8,7,-,The Town,Movie,,01-Jul-20,7,29
2020-07-08,9,-,-,Only,Movie,,05-Jul-20,1,2
2020-07-08,10,-,-,Dr. Seussâ The Lorax,Movie,,07-Jul-20,1,1
2020-07-09,1,1,1,Unsolved Mysteries,TV Show,Yes,01-Jul-20,8,80
2020-07-09,2,2,-,Warrior Nun,TV Show,Yes,02-Jul-20,7,61
2020-07-09,3,10,-,Dr. Seussâ The Lorax,Movie,,07-Jul-20,2,9
2020-07-09,4,3,-,The Baby-Sitters Club,TV Show,Yes,03-Jul-20,6,46
2020-07-09,5,9,-,Only,Movie,,05-Jul-20,2,8
2020-07-09,6,4,-,Desperados,Movie,Yes,03-Jul-20,6,35
2020-07-09,7,5,2,Floor is Lava,TV Show,Yes,19-Jun-20,20,165
2020-07-09,8,7,-,I Now Pronounce You Chuck a…,Movie,,01-Mar-18,4,12
2020-07-09,9,6,3,Patriots Day,Movie,,01-Jul-20,8,52
2020-07-09,10,8,9,The Town,Movie,,01-Jul-20,8,30
2020-07-10,1,1,1,Unsolved Mysteries,TV Show,Yes,01-Jul-20,9,90
2020-07-10,2,3,-,Dr. Seussâ The Lorax,Movie,,07-Jul-20,3,18
2020-07-10,3,2,4,Warrior Nun,TV Show,Yes,02-Jul-20,8,69
2020-07-10,4,4,-,The Baby-Sitters Club,TV Show,Yes,03-Jul-20,7,53
2020-07-10,5,6,-,Desperados,Movie,Yes,03-Jul-20,7,41
2020-07-10,6,5,-,Only,Movie,,05-Jul-20,3,13
2020-07-10,7,7,3,Floor is Lava,TV Show,Yes,19-Jun-20,21,169
2020-07-10,8,8,-,I Now Pronounce You Chuck a…,Movie,,01-Mar-18,5,15
2020-07-10,9,10,5,The Town,Movie,,01-Jul-20,9,32
2020-07-10,10,-,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,27-May-20,22,146
2020-07-11,1,-,-,The Old Guard,Movie,Yes,10-Jul-20,1,10
2020-07-11,2,1,1,Unsolved Mysteries,TV Show,Yes,01-Jul-20,10,99
2020-07-11,3,2,-,Dr. Seussâ The Lorax,Movie,,07-Jul-20,4,26
2020-07-11,4,3,2,Warrior Nun,TV Show,Yes,02-Jul-20,9,76
2020-07-11,5,-,-,The Epic Tales of Captain U…,TV Show,Yes,10-Jul-20,1,6
2020-07-11,6,-,-,Down to Earth with Zac Efron,TV Show,Yes,10-Jul-20,1,5
2020-07-11,7,4,4,The Baby-Sitters Club,TV Show,Yes,03-Jul-20,8,57
2020-07-11,8,5,7,Desperados,Movie,Yes,03-Jul-20,8,44
2020-07-11,9,7,5,Floor is Lava,TV Show,Yes,19-Jun-20,22,171
2020-07-11,10,6,-,Only,Movie,,05-Jul-20,4,14
2020-07-12,1,1,-,The Old Guard,Movie,Yes,10-Jul-20,2,20
2020-07-12,2,2,1,Unsolved Mysteries,TV Show,Yes,01-Jul-20,11,108
2020-07-12,3,3,-,Dr. Seussâ The Lorax,Movie,,07-Jul-20,5,34
2020-07-12,4,6,-,Down to Earth with Zac Efron,TV Show,Yes,10-Jul-20,2,12
2020-07-12,5,4,2,Warrior Nun,TV Show,Yes,02-Jul-20,10,82
2020-07-12,6,5,-,The Epic Tales of Captain U…,TV Show,Yes,10-Jul-20,2,11
2020-07-12,7,7,3,The Baby-Sitters Club,TV Show,Yes,03-Jul-20,9,61
2020-07-12,8,10,-,Only,Movie,,05-Jul-20,5,17
2020-07-12,9,8,5,Desperados,Movie,Yes,03-Jul-20,9,46
2020-07-12,10,-,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,27-May-20,23,147
2020-07-13,1,1,-,The Old Guard,Movie,Yes,10-Jul-20,3,30
2020-07-13,2,2,1,Unsolved Mysteries,TV Show,Yes,01-Jul-20,12,117
2020-07-13,3,4,-,Down to Earth with Zac Efron,TV Show,Yes,10-Jul-20,3,20
2020-07-13,4,3,-,Dr. Seussâ The Lorax,Movie,,07-Jul-20,6,41
2020-07-13,5,5,2,Warrior Nun,TV Show,Yes,02-Jul-20,11,88
2020-07-13,6,6,-,The Epic Tales of Captain U…,TV Show,Yes,10-Jul-20,3,16
2020-07-13,7,8,-,Only,Movie,,05-Jul-20,6,21
2020-07-13,8,10,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,27-May-20,24,150
2020-07-13,9,7,3,The Baby-Sitters Club,TV Show,Yes,03-Jul-20,10,63
2020-07-13,10,9,5,Desperados,Movie,Yes,03-Jul-20,10,47
2020-07-14,1,1,-,The Old Guard,Movie,Yes,10-Jul-20,4,40
2020-07-14,2,3,-,Down to Earth with Zac Efron,TV Show,Yes,10-Jul-20,4,29
2020-07-14,3,4,-,Dr. Seussâ The Lorax,Movie,,07-Jul-20,7,49
2020-07-14,4,2,1,Unsolved Mysteries,TV Show,Yes,01-Jul-20,13,124
2020-07-14,5,5,2,Warrior Nun,TV Show,Yes,02-Jul-20,12,94
2020-07-14,6,6,-,The Epic Tales of Captain U…,TV Show,Yes,10-Jul-20,4,21
2020-07-14,7,9,3,The Baby-Sitters Club,TV Show,Yes,03-Jul-20,11,67
2020-07-14,8,8,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,27-May-20,25,153
2020-07-14,9,7,-,Only,Movie,,05-Jul-20,7,23
2020-07-14,10,10,4,Desperados,Movie,Yes,03-Jul-20,11,48
2020-07-15,1,1,-,The Old Guard,Movie,Yes,10-Jul-20,5,50
2020-07-15,2,2,-,Down to Earth with Zac Efron,TV Show,Yes,10-Jul-20,5,38
2020-07-15,3,3,10,Dr. Seussâ The Lorax,Movie,,07-Jul-20,8,57
2020-07-15,4,-,-,The Business of Drugs,TV Show,Yes,14-Jul-20,1,7
2020-07-15,5,4,1,Unsolved Mysteries,TV Show,Yes,01-Jul-20,14,130
2020-07-15,6,5,2,Warrior Nun,TV Show,Yes,02-Jul-20,13,99
2020-07-15,7,8,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,27-May-20,26,157
2020-07-15,8,7,3,The Baby-Sitters Club,TV Show,Yes,03-Jul-20,12,70
2020-07-15,9,6,-,The Epic Tales of Captain U…,TV Show,Yes,10-Jul-20,5,23
2020-07-15,10,-,-,The Office,TV Show,,15-Jan-07,1,1
2020-07-16,1,1,-,The Old Guard,Movie,Yes,10-Jul-20,6,60
2020-07-16,2,4,-,The Business of Drugs,TV Show,Yes,14-Jul-20,2,16
2020-07-16,3,2,-,Down to Earth with Zac Efron,TV Show,Yes,10-Jul-20,6,46
2020-07-16,4,3,3,Dr. Seussâ The Lorax,Movie,,07-Jul-20,9,64
2020-07-16,5,5,1,Unsolved Mysteries,TV Show,Yes,01-Jul-20,15,136
2020-07-16,6,6,2,Warrior Nun,TV Show,Yes,02-Jul-20,14,104
2020-07-16,7,-,-,Dark Desire,TV Show,Yes,15-Jul-20,1,4
2020-07-16,8,7,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,27-May-20,27,160
2020-07-16,9,8,4,The Baby-Sitters Club,TV Show,Yes,03-Jul-20,13,72
2020-07-16,10,9,-,The Epic Tales of Captain U…,TV Show,Yes,10-Jul-20,6,24
2020-07-17,1,-,-,Fatal Affair,Movie,Yes,16-Jul-20,1,10
2020-07-17,2,1,-,The Old Guard,Movie,Yes,10-Jul-20,7,69
2020-07-17,3,2,-,The Business of Drugs,TV Show,Yes,14-Jul-20,3,24
2020-07-17,4,3,-,Down to Earth with Zac Efron,TV Show,Yes,10-Jul-20,7,53
2020-07-17,5,4,2,Dr. Seussâ The Lorax,Movie,,07-Jul-20,10,70
2020-07-17,6,5,1,Unsolved Mysteries,TV Show,Yes,01-Jul-20,16,141
2020-07-17,7,7,-,Dark Desire,TV Show,Yes,15-Jul-20,2,8
2020-07-17,8,6,3,Warrior Nun,TV Show,Yes,02-Jul-20,15,107
2020-07-17,9,8,10,Jeffrey Epstein: Filthy Rich,TV Show,Yes,27-May-20,28,162
2020-07-17,10,9,4,The Baby-Sitters Club,TV Show,Yes,03-Jul-20,14,73
2020-07-18,1,1,-,Fatal Affair,Movie,Yes,16-Jul-20,2,20
2020-07-18,2,-,-,Cursed,TV Show,Yes,17-Jul-20,1,9
2020-07-18,3,2,1,The Old Guard,Movie,Yes,10-Jul-20,8,77
2020-07-18,4,3,-,The Business of Drugs,TV Show,Yes,14-Jul-20,4,31
2020-07-18,5,4,6,Down to Earth with Zac Efron,TV Show,Yes,10-Jul-20,8,59
2020-07-18,6,5,3,Dr. Seussâ The Lorax,Movie,,07-Jul-20,11,75
2020-07-18,7,6,2,Unsolved Mysteries,TV Show,Yes,01-Jul-20,17,145
2020-07-18,8,7,-,Dark Desire,TV Show,Yes,15-Jul-20,3,11
2020-07-18,9,8,4,Warrior Nun,TV Show,Yes,02-Jul-20,16,109
2020-07-18,10,9,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,27-May-20,29,163
2020-07-19,1,2,-,Cursed,TV Show,Yes,17-Jul-20,2,19
2020-07-19,2,1,-,Fatal Affair,Movie,Yes,16-Jul-20,3,29
2020-07-19,3,3,1,The Old Guard,Movie,Yes,10-Jul-20,9,85
2020-07-19,4,5,4,Down to Earth with Zac Efron,TV Show,Yes,10-Jul-20,9,66
2020-07-19,5,4,-,The Business of Drugs,TV Show,Yes,14-Jul-20,5,37
2020-07-19,6,8,-,Dark Desire,TV Show,Yes,15-Jul-20,4,16
2020-07-19,7,6,3,Dr. Seussâ The Lorax,Movie,,07-Jul-20,12,79
2020-07-19,8,7,2,Unsolved Mysteries,TV Show,Yes,01-Jul-20,18,148
2020-07-19,9,9,5,Warrior Nun,TV Show,Yes,02-Jul-20,17,111
2020-07-19,10,10,10,Jeffrey Epstein: Filthy Rich,TV Show,Yes,27-May-20,30,164
2020-07-20,1,1,-,Cursed,TV Show,Yes,17-Jul-20,3,29
2020-07-20,2,2,-,Fatal Affair,Movie,Yes,16-Jul-20,4,38
2020-07-20,3,3,1,The Old Guard,Movie,Yes,10-Jul-20,10,93
2020-07-20,4,-,-,The Last Dance,TV Show,Yes,19-Jul-20,1,7
2020-07-20,5,4,3,Down to Earth with Zac Efron,TV Show,Yes,10-Jul-20,10,72
2020-07-20,6,6,-,Dark Desire,TV Show,Yes,15-Jul-20,5,21
2020-07-20,7,5,-,The Business of Drugs,TV Show,Yes,14-Jul-20,6,41
2020-07-20,8,8,2,Unsolved Mysteries,TV Show,Yes,01-Jul-20,19,151
2020-07-20,9,7,4,Dr. Seussâ The Lorax,Movie,,07-Jul-20,13,81
2020-07-20,10,-,-,Indian Matchmaking,TV Show,Yes,16-Jul-20,1,1
2020-07-21,1,1,-,Cursed,TV Show,Yes,17-Jul-20,4,39
2020-07-21,2,4,-,The Last Dance,TV Show,Yes,19-Jul-20,2,16
2020-07-21,3,2,-,Fatal Affair,Movie,Yes,16-Jul-20,5,46
2020-07-21,4,5,2,Down to Earth with Zac Efron,TV Show,Yes,10-Jul-20,11,79
2020-07-21,5,6,-,Dark Desire,TV Show,Yes,15-Jul-20,6,27
2020-07-21,6,3,1,The Old Guard,Movie,Yes,10-Jul-20,11,98
2020-07-21,7,9,3,Dr. Seussâ The Lorax,Movie,,07-Jul-20,14,85
2020-07-21,8,7,-,The Business of Drugs,TV Show,Yes,14-Jul-20,7,44
2020-07-21,9,10,-,Indian Matchmaking,TV Show,Yes,16-Jul-20,2,3
2020-07-21,10,8,4,Unsolved Mysteries,TV Show,Yes,01-Jul-20,20,152
2020-07-22,1,1,-,Cursed,TV Show,Yes,17-Jul-20,5,49
2020-07-22,2,2,-,The Last Dance,TV Show,Yes,19-Jul-20,3,25
2020-07-22,3,3,-,Fatal Affair,Movie,Yes,16-Jul-20,6,54
2020-07-22,4,5,-,Dark Desire,TV Show,Yes,15-Jul-20,7,34
2020-07-22,5,4,2,Down to Earth with Zac Efron,TV Show,Yes,10-Jul-20,12,85
2020-07-22,6,6,1,The Old Guard,Movie,Yes,10-Jul-20,12,103
2020-07-22,7,9,-,Indian Matchmaking,TV Show,Yes,16-Jul-20,3,7
2020-07-22,8,10,5,Unsolved Mysteries,TV Show,Yes,01-Jul-20,21,155
2020-07-22,9,7,3,Dr. Seussâ The Lorax,Movie,,07-Jul-20,15,87
2020-07-22,10,-,-,In the Dark,TV Show,,05-Jul-19,1,1
2020-07-23,1,1,-,Cursed,TV Show,Yes,17-Jul-20,6,59
2020-07-23,2,2,-,The Last Dance,TV Show,Yes,19-Jul-20,4,34
2020-07-23,3,-,-,Fear City: New York vs. The…,TV Show,Yes,22-Jul-20,1,8
2020-07-23,4,4,7,Dark Desire,TV Show,Yes,15-Jul-20,8,41
2020-07-23,5,3,-,Fatal Affair,Movie,Yes,16-Jul-20,7,60
2020-07-23,6,5,3,Down to Earth with Zac Efron,TV Show,Yes,10-Jul-20,13,90
2020-07-23,7,-,-,Ip Man 4: The Finale,Movie,,21-Jul-20,1,4
2020-07-23,8,8,5,Unsolved Mysteries,TV Show,Yes,01-Jul-20,22,158
2020-07-23,9,7,-,Indian Matchmaking,TV Show,Yes,16-Jul-20,4,9
2020-07-23,10,9,4,Dr. Seussâ The Lorax,Movie,,07-Jul-20,16,88
2020-07-24,1,3,-,Fear City: New York vs. The…,TV Show,Yes,22-Jul-20,2,18
2020-07-24,2,1,-,Cursed,TV Show,Yes,17-Jul-20,7,68
2020-07-24,3,2,-,The Last Dance,TV Show,Yes,19-Jul-20,5,42
2020-07-24,4,7,-,Ip Man 4: The Finale,Movie,,21-Jul-20,2,11
2020-07-24,5,4,7,Dark Desire,TV Show,Yes,15-Jul-20,9,47
2020-07-24,6,6,4,Down to Earth with Zac Efron,TV Show,Yes,10-Jul-20,14,95
2020-07-24,7,10,5,Dr. Seussâ The Lorax,Movie,,07-Jul-20,17,92
2020-07-24,8,9,-,Indian Matchmaking,TV Show,Yes,16-Jul-20,5,12
2020-07-24,9,-,-,In the Dark,TV Show,,05-Jul-19,2,3
2020-07-24,10,5,1,Fatal Affair,Movie,Yes,16-Jul-20,8,61
2020-07-25,1,-,-,The Kissing Booth 2,Movie,Yes,24-Jul-20,1,10
2020-07-25,2,1,-,Fear City: New York vs. The…,TV Show,Yes,22-Jul-20,3,27
2020-07-25,3,2,2,Cursed,TV Show,Yes,17-Jul-20,8,76
2020-07-25,4,3,-,The Last Dance,TV Show,Yes,19-Jul-20,6,49
2020-07-25,5,4,-,Ip Man 4: The Finale,Movie,,21-Jul-20,3,17
2020-07-25,6,5,8,Dark Desire,TV Show,Yes,15-Jul-20,10,52
2020-07-25,7,-,-,Animal Crackers,Movie,Yes,24-Jul-20,1,4
2020-07-25,8,6,5,Down to Earth with Zac Efron,TV Show,Yes,10-Jul-20,15,98
2020-07-25,9,-,-,The Kissing Booth,Movie,Yes,11-May-20,1,2
2020-07-25,10,8,-,Indian Matchmaking,TV Show,Yes,16-Jul-20,6,13
2020-07-26,1,1,-,The Kissing Booth 2,Movie,Yes,24-Jul-20,2,20
2020-07-26,2,2,-,Fear City: New York vs. The…,TV Show,Yes,22-Jul-20,4,36
2020-07-26,3,3,1,Cursed,TV Show,Yes,17-Jul-20,9,84
2020-07-26,4,4,-,The Last Dance,TV Show,Yes,19-Jul-20,7,56
2020-07-26,5,7,-,Animal Crackers,Movie,Yes,24-Jul-20,2,10
2020-07-26,6,9,-,The Kissing Booth,Movie,Yes,11-May-20,2,7
2020-07-26,7,5,-,Ip Man 4: The Finale,Movie,,21-Jul-20,4,21
2020-07-26,8,6,6,Dark Desire,TV Show,Yes,15-Jul-20,11,55
2020-07-26,9,-,3,The Old Guard,Movie,Yes,10-Jul-20,13,105
2020-07-26,10,8,4,Down to Earth with Zac Efron,TV Show,Yes,10-Jul-20,16,99
2020-07-27,1,1,-,The Kissing Booth 2,Movie,Yes,24-Jul-20,3,30
2020-07-27,2,2,-,Fear City: New York vs. The…,TV Show,Yes,22-Jul-20,5,45
2020-07-27,3,4,4,The Last Dance,TV Show,Yes,19-Jul-20,8,64
2020-07-27,4,3,1,Cursed,TV Show,Yes,17-Jul-20,10,91
2020-07-27,5,-,-,Shameless,TV Show,,30-Jun-16,1,6
2020-07-27,6,5,-,Animal Crackers,Movie,Yes,24-Jul-20,3,15
2020-07-27,7,6,-,The Kissing Booth,Movie,Yes,11-May-20,3,11
2020-07-27,8,9,3,The Old Guard,Movie,Yes,10-Jul-20,14,108
2020-07-27,9,10,5,Down to Earth with Zac Efron,TV Show,Yes,10-Jul-20,17,101
2020-07-27,10,7,-,Ip Man 4: The Finale,Movie,,21-Jul-20,5,22
2020-07-28,1,1,-,The Kissing Booth 2,Movie,Yes,24-Jul-20,4,40
2020-07-28,2,5,-,Shameless,TV Show,,30-Jun-16,2,15
2020-07-28,3,2,-,Fear City: New York vs. The…,TV Show,Yes,22-Jul-20,6,53
2020-07-28,4,3,2,The Last Dance,TV Show,Yes,19-Jul-20,9,71
2020-07-28,5,6,-,Animal Crackers,Movie,Yes,24-Jul-20,4,21
2020-07-28,6,4,1,Cursed,TV Show,Yes,17-Jul-20,11,96
2020-07-28,7,7,-,The Kissing Booth,Movie,Yes,11-May-20,4,15
2020-07-28,8,9,4,Down to Earth with Zac Efron,TV Show,Yes,10-Jul-20,18,104
2020-07-28,9,-,5,Dark Desire,TV Show,Yes,15-Jul-20,12,57
2020-07-28,10,-,-,In the Dark,TV Show,,05-Jul-19,3,4
2020-07-29,1,1,-,The Kissing Booth 2,Movie,Yes,24-Jul-20,5,50
2020-07-29,2,2,-,Shameless,TV Show,,30-Jun-16,3,24
2020-07-29,3,5,-,Animal Crackers,Movie,Yes,24-Jul-20,5,29
2020-07-29,4,4,2,The Last Dance,TV Show,Yes,19-Jul-20,10,78
2020-07-29,5,6,1,Cursed,TV Show,Yes,17-Jul-20,12,102
2020-07-29,6,3,-,Fear City: New York vs. The…,TV Show,Yes,22-Jul-20,7,58
2020-07-29,7,-,-,Last Chance U,TV Show,Yes,29-Jul-16,1,4
2020-07-29,8,7,-,The Kissing Booth,Movie,Yes,11-May-20,5,18
2020-07-29,9,9,4,Dark Desire,TV Show,Yes,15-Jul-20,13,59
2020-07-29,10,10,10,In the Dark,TV Show,,05-Jul-19,4,5
2020-07-30,1,2,-,Shameless,TV Show,,30-Jun-16,4,34
2020-07-30,2,1,-,The Kissing Booth 2,Movie,Yes,24-Jul-20,6,59
2020-07-30,3,7,-,Last Chance U,TV Show,Yes,29-Jul-16,2,12
2020-07-30,4,4,2,The Last Dance,TV Show,Yes,19-Jul-20,11,85
2020-07-30,5,3,-,Animal Crackers,Movie,Yes,24-Jul-20,6,35
2020-07-30,6,5,1,Cursed,TV Show,Yes,17-Jul-20,13,107
2020-07-30,7,6,3,Fear City: New York vs. The…,TV Show,Yes,22-Jul-20,8,62
2020-07-30,8,8,-,The Kissing Booth,Movie,Yes,11-May-20,6,21
2020-07-30,9,9,4,Dark Desire,TV Show,Yes,15-Jul-20,14,61
2020-07-30,10,10,-,In the Dark,TV Show,,05-Jul-19,5,6
2020-07-31,1,1,-,Shameless,TV Show,,30-Jun-16,5,44
2020-07-31,2,2,-,The Kissing Booth 2,Movie,Yes,24-Jul-20,7,68
2020-07-31,3,5,-,Animal Crackers,Movie,Yes,24-Jul-20,7,43
2020-07-31,4,4,3,The Last Dance,TV Show,Yes,19-Jul-20,12,92
2020-07-31,5,3,-,Last Chance U,TV Show,Yes,29-Jul-16,3,18
2020-07-31,6,6,2,Cursed,TV Show,Yes,17-Jul-20,14,112
2020-07-31,7,-,-,Transformers: War for Cyber…,TV Show,Yes,30-Jul-20,1,4
2020-07-31,8,7,1,Fear City: New York vs. The…,TV Show,Yes,22-Jul-20,9,65
2020-07-31,9,-,-,Zookeeper,Movie,,26-Jul-20,1,2
2020-07-31,10,9,5,Dark Desire,TV Show,Yes,15-Jul-20,15,62
2020-08-01,1,-,-,The Umbrella Academy,TV Show,Yes,15-Feb-19,1,10
2020-08-01,2,1,-,Shameless,TV Show,,30-Jun-16,6,53
2020-08-01,3,2,1,The Kissing Booth 2,Movie,Yes,24-Jul-20,8,76
2020-08-01,4,3,7,Animal Crackers,Movie,Yes,24-Jul-20,8,50
2020-08-01,5,4,4,The Last Dance,TV Show,Yes,19-Jul-20,13,98
2020-08-01,6,5,-,Last Chance U,TV Show,Yes,29-Jul-16,4,23
2020-08-01,7,6,3,Cursed,TV Show,Yes,17-Jul-20,15,116
2020-08-01,8,9,-,Zookeeper,Movie,,26-Jul-20,2,5
2020-08-01,9,7,-,Transformers: War for Cyber…,TV Show,Yes,30-Jul-20,2,6
2020-08-01,10,-,-,Sugar Rush,TV Show,Yes,13-Jul-18,1,1
2020-08-02,1,1,-,The Umbrella Academy,TV Show,Yes,15-Feb-19,2,20
2020-08-02,2,2,-,Shameless,TV Show,,30-Jun-16,7,62
2020-08-02,3,3,1,The Kissing Booth 2,Movie,Yes,24-Jul-20,9,84
2020-08-02,4,5,4,The Last Dance,TV Show,Yes,19-Jul-20,14,105
2020-08-02,5,4,5,Animal Crackers,Movie,Yes,24-Jul-20,9,56
2020-08-02,6,6,-,Last Chance U,TV Show,Yes,29-Jul-16,5,28
2020-08-02,7,8,-,Zookeeper,Movie,,26-Jul-20,3,9
2020-08-02,8,10,-,Sugar Rush,TV Show,Yes,13-Jul-18,2,4
2020-08-02,9,7,3,Cursed,TV Show,Yes,17-Jul-20,16,118
2020-08-02,10,-,-,Moesha,TV Show,,01-Aug-20,1,1
2020-08-03,1,1,-,The Umbrella Academy,TV Show,Yes,15-Feb-19,3,30
2020-08-03,2,2,5,Shameless,TV Show,,30-Jun-16,8,71
2020-08-03,3,-,-,Rogue Warfare: The Hunt,Movie,,01-Aug-20,1,8
2020-08-03,4,4,3,The Last Dance,TV Show,Yes,19-Jul-20,15,112
2020-08-03,5,3,1,The Kissing Booth 2,Movie,Yes,24-Jul-20,10,90
2020-08-03,6,10,-,Moesha,TV Show,,01-Aug-20,2,6
2020-08-03,7,8,-,Sugar Rush,TV Show,Yes,13-Jul-18,3,8
2020-08-03,8,5,6,Animal Crackers,Movie,Yes,24-Jul-20,10,59
2020-08-03,9,6,-,Last Chance U,TV Show,Yes,29-Jul-16,6,30
2020-08-03,10,9,4,Cursed,TV Show,Yes,17-Jul-20,17,119
2020-08-04,1,1,-,The Umbrella Academy,TV Show,Yes,15-Feb-19,4,40
2020-08-04,2,2,2,Shameless,TV Show,,30-Jun-16,9,80
2020-08-04,3,7,-,Sugar Rush,TV Show,Yes,13-Jul-18,4,16
2020-08-04,4,4,4,The Last Dance,TV Show,Yes,19-Jul-20,16,119
2020-08-04,5,6,-,Moesha,TV Show,,01-Aug-20,3,12
2020-08-04,6,5,1,The Kissing Booth 2,Movie,Yes,24-Jul-20,11,95
2020-08-04,7,-,-,Latte & the Magic Waterstone,Movie,Yes,31-Jul-20,1,4
2020-08-04,8,-,-,Immigration Nation,TV Show,Yes,03-Aug-20,1,3
2020-08-04,9,3,-,Rogue Warfare: The Hunt,Movie,,01-Aug-20,2,10
2020-08-04,10,8,5,Animal Crackers,Movie,Yes,24-Jul-20,11,60
2020-08-05,1,1,-,The Umbrella Academy,TV Show,Yes,15-Feb-19,5,50
2020-08-05,2,2,2,Shameless,TV Show,,30-Jun-16,10,89
2020-08-05,3,8,-,Immigration Nation,TV Show,Yes,03-Aug-20,2,11
2020-08-05,4,-,-,Malibu Rescue: The Next Wave,Movie,Yes,03-Aug-20,1,7
2020-08-05,5,3,-,Sugar Rush,TV Show,Yes,13-Jul-18,5,22
2020-08-05,6,4,4,The Last Dance,TV Show,Yes,19-Jul-20,17,124
2020-08-05,7,-,-,Jurassic Park,Movie,,01-Aug-20,1,4
2020-08-05,8,5,-,Moesha,TV Show,,01-Aug-20,4,15
2020-08-05,9,6,1,The Kissing Booth 2,Movie,Yes,24-Jul-20,12,97
2020-08-05,10,7,-,Latte & the Magic Waterstone,Movie,Yes,31-Jul-20,2,5
2020-08-06,1,1,-,The Umbrella Academy,TV Show,Yes,15-Feb-19,6,60
2020-08-06,2,2,1,Shameless,TV Show,,30-Jun-16,11,98
2020-08-06,3,-,-,Worldâs Most Wanted,TV Show,Yes,05-Aug-20,1,8
2020-08-06,4,4,-,Malibu Rescue: The Next Wave,Movie,Yes,03-Aug-20,2,14
2020-08-06,5,3,-,Immigration Nation,TV Show,Yes,03-Aug-20,3,17
2020-08-06,6,7,-,Jurassic Park,Movie,,01-Aug-20,2,9
2020-08-06,7,5,-,Sugar Rush,TV Show,Yes,13-Jul-18,6,26
2020-08-06,8,-,-,Dennis the Menace,Movie,,01-Aug-20,1,3
2020-08-06,9,6,4,The Last Dance,TV Show,Yes,19-Jul-20,18,126
2020-08-06,10,8,-,Moesha,TV Show,,01-Aug-20,5,16
2020-08-07,1,1,-,The Umbrella Academy,TV Show,Yes,15-Feb-19,7,70
2020-08-07,2,3,-,Worldâs Most Wanted,TV Show,Yes,05-Aug-20,2,17
2020-08-07,3,-,-,The Seven Deadly Sins,TV Show,Yes,01-Nov-15,1,8
2020-08-07,4,2,1,Shameless,TV Show,,30-Jun-16,12,105
2020-08-07,5,8,-,Dennis the Menace,Movie,,01-Aug-20,2,9
2020-08-07,6,6,-,Jurassic Park,Movie,,01-Aug-20,3,14
2020-08-07,7,4,-,Malibu Rescue: The Next Wave,Movie,Yes,03-Aug-20,3,18
2020-08-07,8,5,-,Immigration Nation,TV Show,Yes,03-Aug-20,4,20
